"tanggal","total_volume","total_nilai","nilai_hari_lalu","persentase_pertumbuhan"
"2023-01-01",33,121635033.00,,
"2023-01-02",30,94210121.00,121635033.00,-22.55
"2023-01-03",33,102612204.00,94210121.00,8.92
"2023-01-04",31,109907108.00,102612204.00,7.11
"2023-01-05",32,118616682.00,109907108.00,7.92
"2023-01-06",30,113330517.00,118616682.00,-4.46
"2023-01-07",35,105618697.00,113330517.00,-6.80
"2023-01-08",38,124030152.00,105618697.00,17.43
"2023-01-09",26,69897356.00,124030152.00,-43.64
"2023-01-10",33,127636116.00,69897356.00,82.61
"2023-01-11",41,131362561.00,127636116.00,2.92
"2023-01-12",37,151056620.00,131362561.00,14.99
"2023-01-13",24,81265310.00,151056620.00,-46.20
"2023-01-14",32,132361635.00,81265310.00,62.88
"2023-01-15",28,83853369.00,132361635.00,-36.65
"2023-01-16",31,133922227.00,83853369.00,59.71
"2023-01-17",31,105976322.00,133922227.00,-20.87
"2023-01-18",34,103285478.00,105976322.00,-2.54
"2023-01-19",34,154856247.00,103285478.00,49.93
"2023-01-20",34,108609125.00,154856247.00,-29.86
"2023-01-21",33,118892842.00,108609125.00,9.47
"2023-01-22",39,164880486.00,118892842.00,38.68
"2023-01-23",38,149579298.00,164880486.00,-9.28
"2023-01-24",20,58122361.00,149579298.00,-61.14
"2023-01-25",34,119755906.00,58122361.00,106.04
"2023-01-26",40,140430641.00,119755906.00,17.26
"2023-01-27",34,107455530.00,140430641.00,-23.48
"2023-01-28",32,99244962.00,107455530.00,-7.64
"2023-01-29",32,122760968.00,99244962.00,23.69
"2023-01-30",40,136148851.00,122760968.00,10.91
"2023-01-31",38,136744100.00,136148851.00,0.44
"2023-02-01",37,135332850.00,136744100.00,-1.03
"2023-02-02",38,142719360.00,135332850.00,5.46
"2023-02-03",32,108723768.00,142719360.00,-23.82
"2023-02-04",34,123120457.00,108723768.00,13.24
"2023-02-05",28,89670704.00,123120457.00,-27.17
"2023-02-06",41,125529212.00,89670704.00,39.99
"2023-02-07",32,106220624.00,125529212.00,-15.38
"2023-02-08",32,126075806.00,106220624.00,18.69
"2023-02-09",26,78948929.00,126075806.00,-37.38
"2023-02-10",42,157193288.00,78948929.00,99.11
"2023-02-11",37,113166805.00,157193288.00,-28.01
"2023-02-12",27,95969337.00,113166805.00,-15.20
"2023-02-13",33,120299010.00,95969337.00,25.35
"2023-02-14",34,103451377.00,120299010.00,-14.00
"2023-02-15",40,154264926.00,103451377.00,49.12
"2023-02-16",45,173651115.00,154264926.00,12.57
"2023-02-17",38,110969499.00,173651115.00,-36.10
"2023-02-18",40,151997885.00,110969499.00,36.97
"2023-02-19",27,87684678.00,151997885.00,-42.31
"2023-02-20",28,108834568.00,87684678.00,24.12
"2023-02-21",42,121529957.00,108834568.00,11.66
"2023-02-22",33,84095274.00,121529957.00,-30.80
"2023-02-23",30,122388468.00,84095274.00,45.54
"2023-02-24",21,61584440.00,122388468.00,-49.68
"2023-02-25",38,125298324.00,61584440.00,103.46
"2023-02-26",38,145125972.00,125298324.00,15.82
"2023-02-27",28,102294642.00,145125972.00,-29.51
"2023-02-28",35,105007947.00,102294642.00,2.65
"2023-03-01",34,105367820.00,105007947.00,0.34
"2023-03-02",26,99881234.00,105367820.00,-5.21
"2023-03-03",38,120176587.00,99881234.00,20.32
"2023-03-04",37,115649449.00,120176587.00,-3.77
"2023-03-05",42,150682636.00,115649449.00,30.29
"2023-03-06",29,83705577.00,150682636.00,-44.45
"2023-03-07",32,101151362.00,83705577.00,20.84
"2023-03-08",37,137927777.00,101151362.00,36.36
"2023-03-09",33,86882801.00,137927777.00,-37.01
"2023-03-10",27,106437786.00,86882801.00,22.51
"2023-03-11",24,77908724.00,106437786.00,-26.80
"2023-03-12",40,177306498.00,77908724.00,127.58
"2023-03-13",33,103296406.00,177306498.00,-41.74
"2023-03-14",26,69383368.00,103296406.00,-32.83
"2023-03-15",40,126367087.00,69383368.00,82.13
"2023-03-16",38,112116973.00,126367087.00,-11.28
"2023-03-17",23,65068288.00,112116973.00,-41.96
"2023-03-18",31,104043761.00,65068288.00,59.90
"2023-03-19",38,117951447.00,104043761.00,13.37
"2023-03-20",21,50719760.00,117951447.00,-57.00
"2023-03-21",34,125421288.00,50719760.00,147.28
"2023-03-22",30,138058666.00,125421288.00,10.08
"2023-03-23",28,76650837.00,138058666.00,-44.48
"2023-03-24",38,120505406.00,76650837.00,57.21
"2023-03-25",34,133418087.00,120505406.00,10.72
"2023-03-26",25,95307943.00,133418087.00,-28.56
"2023-03-27",23,84513638.00,95307943.00,-11.33
"2023-03-28",32,118620613.00,84513638.00,40.36
"2023-03-29",27,71953454.00,118620613.00,-39.34
"2023-03-30",29,100624210.00,71953454.00,39.85
"2023-03-31",34,98399447.00,100624210.00,-2.21
"2023-04-01",31,102573332.00,98399447.00,4.24
"2023-04-02",39,149774567.00,102573332.00,46.02
"2023-04-03",37,116467267.00,149774567.00,-22.24
"2023-04-04",26,64821723.00,116467267.00,-44.34
"2023-04-05",33,111023800.00,64821723.00,71.28
"2023-04-06",32,116373688.00,111023800.00,4.82
"2023-04-07",32,97698753.00,116373688.00,-16.05
"2023-04-08",28,102403238.00,97698753.00,4.82
"2023-04-09",21,70133801.00,102403238.00,-31.51
"2023-04-10",29,98939889.00,70133801.00,41.07
"2023-04-11",38,131877651.00,98939889.00,33.29
"2023-04-12",36,99383408.00,131877651.00,-24.64
"2023-04-13",34,106890810.00,99383408.00,7.55
"2023-04-14",28,144787245.00,106890810.00,35.45
"2023-04-15",28,95107443.00,144787245.00,-34.31
"2023-04-16",26,85876546.00,95107443.00,-9.71
"2023-04-17",34,136473862.00,85876546.00,58.92
"2023-04-18",28,110642726.00,136473862.00,-18.93
