"year","quarter","channel_name","is_digital","volume_penggunaan","total_nilai"
2023,1,"Mobile Banking","t",1060,3673350876.00
2023,1,"ATM","f",609,2111505509.00
2023,1,"Teller","f",548,1864788113.00
2023,1,"Internet Banking","t",442,1493919647.00
2023,1,"EDC / Mesin Kasir","f",177,577564165.00
2023,1,"Call Center / IVR","t",130,463578667.00
2023,2,"Mobile Banking","t",1054,3608296145.00
2023,2,"Teller","f",608,2030613809.00
2023,2,"ATM","f",582,1871923633.00
2023,2,"Internet Banking","t",431,1393669250.00
2023,2,"EDC / Mesin Kasir","f",161,557026778.00
2023,2,"Call Center / IVR","t",124,383537734.00
2023,3,"Mobile Banking","t",1079,3722335080.00
2023,3,"Teller","f",641,2191511709.00
2023,3,"ATM","f",597,1971500773.00
2023,3,"Internet Banking","t",453,1492812205.00
2023,3,"Call Center / IVR","t",149,470885171.00
2023,3,"EDC / Mesin Kasir","f",146,558832279.00
2023,4,"Mobile Banking","t",1118,3633286961.00
2023,4,"Teller","f",627,2004734448.00
2023,4,"ATM","f",574,1930670499.00
2023,4,"Internet Banking","t",448,1469808753.00
2023,4,"EDC / Mesin Kasir","f",148,510296784.00
2023,4,"Call Center / IVR","t",144,492808349.00
2024,1,"Mobile Banking","t",1022,3521394744.00
2024,1,"ATM","f",598,1888596771.00
2024,1,"Teller","f",596,2045390963.00
2024,1,"Internet Banking","t",429,1441015721.00
2024,1,"EDC / Mesin Kasir","f",161,553401865.00
2024,1,"Call Center / IVR","t",153,489063605.00
2024,2,"Mobile Banking","t",1053,3498983585.00
2024,2,"ATM","f",613,2100094118.00
2024,2,"Teller","f",590,2066102982.00
2024,2,"Internet Banking","t",470,1574721019.00
2024,2,"Call Center / IVR","t",173,562643810.00
2024,2,"EDC / Mesin Kasir","f",150,468867867.00
2024,3,"Mobile Banking","t",1087,3752105420.00
2024,3,"ATM","f",613,2015175769.00
2024,3,"Teller","f",613,2128905785.00
2024,3,"Internet Banking","t",434,1397165502.00
2024,3,"EDC / Mesin Kasir","f",145,465609650.00
2024,3,"Call Center / IVR","t",140,494856183.00
2024,4,"Mobile Banking","t",1045,3480564001.00
2024,4,"ATM","f",608,1973596524.00
2024,4,"Teller","f",571,1884748106.00
2024,4,"Internet Banking","t",462,1504189210.00
2024,4,"EDC / Mesin Kasir","f",141,474846826.00
2024,4,"Call Center / IVR","t",125,399638033.00
2025,1,"Mobile Banking","t",1007,3473377546.00
2025,1,"ATM","f",626,1990669061.00
2025,1,"Teller","f",542,1682154431.00
2025,1,"Internet Banking","t",445,1483173846.00
2025,1,"Call Center / IVR","t",144,501119029.00
2025,1,"EDC / Mesin Kasir","f",124,413050882.00
2025,2,"Mobile Banking","t",993,3375605263.00
2025,2,"ATM","f",589,1883325510.00
2025,2,"Teller","f",547,1822937803.00
2025,2,"Internet Banking","t",461,1514608276.00
2025,2,"Call Center / IVR","t",144,460718580.00
2025,2,"EDC / Mesin Kasir","f",141,483770744.00
2025,3,"Mobile Banking","t",1034,3472304403.00
2025,3,"Teller","f",645,2012341168.00
2025,3,"ATM","f",605,1984176079.00
2025,3,"Internet Banking","t",440,1495946479.00
2025,3,"EDC / Mesin Kasir","f",190,673239954.00
2025,3,"Call Center / IVR","t",126,451781430.00
2025,4,"Mobile Banking","t",1019,3310897786.00
2025,4,"Teller","f",596,1949641359.00
2025,4,"ATM","f",596,1953990411.00
2025,4,"Internet Banking","t",407,1339364752.00
2025,4,"Call Center / IVR","t",160,540755236.00
2025,4,"EDC / Mesin Kasir","f",145,472527759.00
