"account_type","product_name","volume_transaksi","saldo_rata_rata"
"TABUNGAN","Tabungan Junior",5431,49347764.07
"TABUNGAN","Tabungan Online",5408,49249332.41
"TABUNGAN","Tabungan Bisnis",5377,49673131.80
"TABUNGAN","Tabungan Reguler",5066,48951436.62
"GIRO","Giro Valas",2517,49288270.04
"GIRO","Giro Reguler",2478,49467765.91
"GIRO","Giro Bisnis",2266,48797756.67
"DEPOSITO","Deposito 1 Bulan",2184,48897610.36
"DEPOSITO","Deposito 6 Bulan",1849,48288034.37
"DEPOSITO","Deposito 12 Bulan",1768,49833364.64
"DEPOSITO","Deposito 3 Bulan",1424,49215273.65
